2025年11月25日更新
送電線No,送電線名,電圧(kV),回線数,設備容量(100%×回線数)(MW),運用容量値(MW),運用容量制約要因,空容量(当該設備)(MW),空容量(上位系等考慮)(MW),N-1電制適用可否,N-1電制適用可能量(MW),平常時出力制御の可能性,平常時出力制御の可能性がある設備(当該設備),平常時出力制御の可能性がある設備(上位系設備),備考
茨城県 66kV 51,送電線,66,2,132,88,熱容量,66,0,可,44,有り,-,送52，送50，送45，変茨城66kV3,上位系（変茨城66kV3）による制約
茨城県 66kV 52,牛久線,66,2,102,57,熱容量,7,0,可,45,有り,-,送52，送50，送45，変茨城66kV3,上位系（変茨城66kV3）による制約
茨城県 66kV 53,桂町線,66,2,444,254,熱容量,222,0,可,190,有り,-,送52，送50，送45，変茨城66kV3,上位系（変茨城66kV3）による制約
茨城県 66kV 54,鹿島西部環線,66,2,95,95,熱容量,94,0,可,0,有り,-,送46，送39,抑制が必要となる設備には送47含む　上位系（送39）による制約
茨城県 66kV 55,東深芝線,66,2,448,257,熱容量,154,0,可,187,有り,-,送46，送39,抑制が必要となる設備には送47含む　上位系（送39）による制約
茨城県 66kV 56,奥野谷２号線,66,2,138,92,熱容量,51,0,可,46,有り,-,送46，送39,抑制が必要となる設備には送47含む　上位系（送39）による制約
茨城県 66kV 57,波崎線,66,2,138,92,熱容量,0,0,可,23,有り,-,送46，送39,抑制が必要となる設備には送47含む　上位系（送39）による制約
茨城県 66kV 58,土合線,66,2,236,160,熱容量,54,0,可,76,有り,-,送46，送39,抑制が必要となる設備には送47含む　上位系（送39）による制約
茨城県 66kV 59,送電線,66,2,-,-,-,37,0,-,-,有り,-,送46，送39,◇　抑制が必要となる設備には送47含む　上位系（送茨城66kV57）による制約
茨城県 66kV 60,松岸線,66,2,230,157,熱容量,97,0,可,73,有り,-,送46，送39,抑制が必要となる設備には送47含む　上位系（送39）による制約
茨城県 66kV 61,湖南線１，２，３，４号,66,4,368,372,熱容量,44,0,可,0,有り,-,送46，送39,抑制が必要となる設備には送47含む　上位系（送39）による制約
茨城県 66kV 62,平井線,66,2,118,67,熱容量,37,0,可,51,有り,-,送46，送39,抑制が必要となる設備には送47含む　上位系（送茨城66kV63）による制約
茨城県 66kV 63,船津線,66,2,156,89,熱容量,0,0,可,67,有り,-,送46，送39,抑制が必要となる設備には送47含む　上位系（送39）による制約
茨城県 66kV 64,送電線,66,2,-,-,-,45,0,-,-,有り,-,送46，送39,◇　抑制が必要となる設備には送47含む　上位系（送茨城66kV63）による制約
茨城県 66kV 65,山方線,66,2,290,161,熱容量,0,0,可,26,有り,-,変2，送11，変茨城154kV1,抑制が必要となる設備には変4含む　上位系（送茨城154kV7）による制約
茨城県 66kV 66,孫目線,66,2,132,74,熱容量,37,0,可,58,有り,-,変2，送11，変茨城154kV1,抑制が必要となる設備には変4含む　上位系（変茨城66kV6）による制約
茨城県 66kV 67,送電線,66,2,102,57,熱容量,44,0,可,0,有り,-,変2，送11，変茨城154kV1,◇　抑制が必要となる設備には変4含む　上位系（変茨城66kV6）による制約
茨城県 66kV 68,勝田線,66,2,372,212,熱容量,143,0,可,160,有り,-,変2，送11，変茨城154kV1,抑制が必要となる設備には変4含む　上位系（変茨城66kV6）による制約
茨城県 66kV 69,青柳線,66,2,444,254,熱容量,159,0,可,190,有り,-,変2，送11，変茨城154kV1,抑制が必要となる設備には変4含む　上位系（変茨城66kV6）による制約
茨城県 66kV 70,長砂線,66,2,124,73,熱容量,37,0,可,51,有り,-,変2，送11，変茨城154kV1,抑制が必要となる設備には変4含む　上位系（変茨城66kV6）による制約
茨城県 66kV 71,湊線,66,2,102,57,熱容量,43,0,可,45,有り,-,変2，送11，変茨城154kV1,抑制が必要となる設備には変4含む　上位系（変茨城66kV6）による制約
茨城県 66kV 72,大洗線,66,2,102,57,熱容量,16,0,可,45,有り,-,変2，送11，変茨城154kV1,抑制が必要となる設備には変4含む　上位系（変茨城66kV6）による制約
茨城県 66kV 73,送電線,66,2,-,-,-,37,0,-,-,有り,-,変2，送11，変茨城154kV1,抑制が必要となる設備には変4含む　上位系（変茨城66kV6）による制約
茨城県 66kV 74,常澄線,66,2,132,74,熱容量,0,0,可,55,有り,-,変2，送11，変茨城154kV1,抑制が必要となる設備には変4含む　上位系（変茨城66kV6）による制約
茨城県 66kV 75,酒門東線,66,2,132,88,熱容量,30,0,可,44,有り,-,変2，送11，変茨城154kV1,抑制が必要となる設備には変4含む　上位系（送茨城66kV74）による制約
茨城県 66kV 76,常陸海浜線,66,2,132,109,熱容量,63,0,可,23,有り,-,変2，送11，変茨城154kV1,抑制が必要となる設備には変4含む　上位系（変茨城66kV6）による制約
茨城県 66kV 77,常陸那珂工団線,66,2,132,74,熱容量,58,0,可,58,有り,-,変2，送11，変茨城154kV1,抑制が必要となる設備には変4含む　上位系（変茨城66kV6）による制約
茨城県 66kV 78,送電線,66,2,98,57,熱容量,49,0,可,41,有り,-,変2，送11，変茨城154kV1,抑制が必要となる設備には変4含む　上位系（変茨城66kV6）による制約
茨城県 66kV 79,北見線,66,2,132,74,熱容量,66,0,可,58,有り,-,変2，送11，変茨城154kV1,抑制が必要となる設備には変4含む　上位系（送茨城154kV2）による制約
茨城県 66kV 80,水戸南町線,66,2,84,93,熱容量,42,0,可,0,有り,-,変2，送11，変茨城154kV1,抑制が必要となる設備には変4含む　上位系（変茨城66kV6）による制約
茨城県 66kV 81,飯田線,66,2,184,104,熱容量,22,0,可,80,有り,-,変2，送11，変茨城154kV1,抑制が必要となる設備には変4含む　上位系（変茨城66kV6）による制約
茨城県 66kV 82,送電線,66,1,60,34,熱容量,1,0,不可 ♯２,-,有り,-,変2，送11，変茨城154kV1,抑制が必要となる設備には変4含む　上位系（変茨城66kV6）による制約
茨城県 66kV 83,送電線,66,2,106,60,熱容量,53,0,可,46,有り,-,変2，送11，変茨城154kV1,抑制が必要となる設備には変4含む　上位系（変茨城66kV6）による制約
茨城県 66kV 84,赤塚線,66,2,66,66,熱容量,21,0,可,0,有り,-,変2，送11，変茨城154kV1,抑制が必要となる設備には変4含む　上位系（送茨城154kV2）による制約
茨城県 66kV 85,岩間線,66,2,132,74,熱容量,3,0,可,58,有り,-,変2，送11，変茨城154kV1,抑制が必要となる設備には変4含む　上位系（送茨城154kV2）による制約
茨城県 66kV 86,見川線,66,2,132,78,熱容量,24,0,可,54,有り,-,変2，送11，変茨城154kV1,抑制が必要となる設備には変4含む　上位系（送茨城154kV2）による制約
茨城県 66kV 87,岩間工団線,66,2,102,57,熱容量,51,0,可,45,有り,-,変2，送11，変茨城154kV1,抑制が必要となる設備には変4含む　上位系（送茨城154kV2）による制約
茨城県 66kV 88,水戸線,66,2,72,40,熱容量,4,0,可,32,有り,-,変2，送11，変茨城154kV1,抑制が必要となる設備には変4含む　上位系（送茨城154kV2）による制約
茨城県 66kV 89,友部線,66,2,132,74,熱容量,0,0,可,58,有り,-,変2，送11，変茨城154kV1,抑制が必要となる設備には変4含む　上位系（送茨城154kV2）による制約
茨城県 66kV 90,送電線,66,2,-,-,-,41,0,-,-,有り,-,変2，送11，変茨城154kV1,抑制が必要となる設備には変4含む　上位系（送茨城154kV2）による制約
茨城県 66kV 91,送電線,66,2,-,-,-,66,0,-,-,有り,-,変2，送11，変茨城154kV1,◇　抑制が必要となる設備には変4含む　上位系（変茨城66kV8）による制約
茨城県 66kV 92,美野里線,66,2,132,74,熱容量,0,0,可,58,有り,-,変2，送11，変茨城154kV1,抑制が必要となる設備には変4含む　上位系（変茨城66kV8）による制約
茨城県 66kV 93,柏原工団線,66,2,132,74,熱容量,66,0,可,58,有り,-,変2，送11，変茨城154kV1,抑制が必要となる設備には変4含む　上位系（変茨城66kV8）による制約
茨城県 66kV 94,送電線,66,2,184,92,熱容量,92,0,可,92,有り,-,変2，送11，変茨城154kV1,抑制が必要となる設備には変4含む　上位系（変茨城66kV8）による制約
茨城県 66kV 95,鉾田線,66,2,132,74,熱容量,0,0,可,0,有り,-,変2，送11，変茨城154kV1,抑制が必要となる設備には変4含む　上位系（変茨城66kV8）による制約
茨城県 66kV 96,高浜線,66,2,86,48,熱容量,43,0,可,38,有り,-,変2，送11，変茨城154kV1,抑制が必要となる設備には変4含む　上位系（変茨城66kV8）による制約
茨城県 66kV 97,貝地線,66,2,102,57,熱容量,21,0,可,45,有り,-,変2，送11，変茨城154kV1,抑制が必要となる設備には変4含む　上位系（変茨城66kV8）による制約
茨城県 66kV 98,送電線,66,2,102,57,熱容量,51,0,可,45,有り,-,変2，送11，変茨城154kV1,抑制が必要となる設備には変4含む　上位系（送茨城66kV95）による制約
茨城県 66kV 99,上山線,66,2,132,74,熱容量,0,0,可,58,有り,-,変2，送11，変茨城154kV1,抑制が必要となる設備には変4含む　上位系（送茨城66kV95）による制約
茨城県 66kV 100,北浦線,66,2,132,88,熱容量,0,0,可,0,有り,-,変2，送11，変茨城154kV1,抑制が必要となる設備には変4含む　上位系（送茨城66kV95）による制約
茨城県 66kV 101,送電線,66,2,-,-,-,51,0,-,-,有り,-,変2，送11，変茨城154kV1,抑制が必要となる設備には変4含む　上位系（変茨城66kV8）による制約
茨城県 66kV 102,送電線,66,2,102,57,熱容量,51,0,可,45,有り,-,変2，送11，変茨城154kV1,抑制が必要となる設備には変4含む　上位系（変茨城66kV8）による制約
茨城県 66kV 103,出島線,66,2,92,92,熱容量,0,0,可,0,有り,-,送52，変4,抑制が必要となる設備には変2、送11含む　上位系（送茨城66kV108）による制約
茨城県 66kV 104,送電線,66,2,102,57,熱容量,51,0,可,45,有り,-,送52，変4,抑制が必要となる設備には変2、送11含む　上位系（送茨城66kV103）による制約
茨城県 66kV 105,送電線,66,2,-,-,-,42,0,-,-,有り,-,送52，変4,抑制が必要となる設備には変2、送11含む　上位系（送茨城66kV103）による制約
茨城県 66kV 106,木田余線,66,2,132,74,熱容量,37,0,可,58,有り,-,変2，送11，変茨城154kV1,抑制が必要となる設備には変4含む　上位系（変茨城66kV8）による制約
茨城県 66kV 107,千代田工団線,66,2,102,57,熱容量,51,0,可,45,有り,-,変2，送11，変茨城154kV1,抑制が必要となる設備には変4含む　上位系（変茨城66kV8）による制約
茨城県 66kV 108,神立線,66,2,184,124,熱容量,0,0,可,0,有り,-,送52，変4,抑制が必要となる設備には変2、送11含む　上位系（変茨城66kV9）による制約
茨城県 66kV 109,中神立線,66,2,86,48,熱容量,43,0,可,38,有り,-,送52，変4,抑制が必要となる設備には変2、送11含む　上位系（送茨城66kV108）による制約
茨城県 66kV 110,土浦線,66,2,294,167,熱容量,147,0,可,127,有り,-,変2，送11，変茨城154kV1,抑制が必要となる設備には変4含む　上位系（変茨城66kV8）による制約
茨城県 66kV 111,立の越線,66,2,184,104,熱容量,84,0,可,80,有り,-,送52，送50，送45，変茨城66kV3,上位系（変茨城66kV3）による制約
茨城県 66kV 112,送電線,66,2,102,57,熱容量,51,0,可,45,有り,-,送52，送50，送45，変茨城66kV3,上位系（変茨城66kV3）による制約
茨城県 66kV 113,福田線,66,2,132,88,熱容量,22,0,可,44,有り,-,送52，送50，送45，変茨城66kV3,上位系（変茨城66kV3）による制約
茨城県 66kV 114,阿見線,66,2,132,88,熱容量,12,0,可,44,有り,-,送52，送50，送45，変茨城66kV3,上位系（変茨城66kV3）による制約
茨城県 66kV 115,霞ヶ浦線,66,2,184,104,熱容量,92,0,可,80,有り,-,送52，変4,抑制が必要となる設備には変2、送11含む　上位系（変茨城66kV9）による制約
茨城県 66kV 116,学園中線,66,2,102,67,熱容量,51,0,可,6,有り,-,送52，変4,抑制が必要となる設備には変2、送11含む　上位系（変茨城66kV9）による制約
茨城県 66kV 117,大穂線,66,2,184,124,熱容量,0,0,可,29,有り,-,送52，変4,抑制が必要となる設備には変2、送11含む　上位系（変茨城66kV9）による制約
茨城県 66kV 118,筑波線,66,2,222,222,熱容量,0,0,可,0,有り,-,送52，変4,抑制が必要となる設備には変2、送11含む　上位系（変茨城66kV9）による制約
茨城県 66kV 119,送電線,66,2,68,41,熱容量,34,0,可,27,有り,-,送52，変4,抑制が必要となる設備には変2、送11含む　上位系（送茨城66kV117）による制約
茨城県 66kV 120,大砂線,66,2,120,72,熱容量,0,0,可,48,有り,-,送52，変4,抑制が必要となる設備には変2、送11含む　上位系（送茨城66kV117）による制約
茨城県 66kV 121,送電線,66,1,-,-,-,20,0,-,-,有り,-,送52，変4,◇　抑制が必要となる設備には変2、送11含む　上位系（送茨城66kV120）による制約
茨城県 66kV 122,明野線,66,2,132,74,熱容量,0,0,可,58,有り,-,送52，変4,抑制が必要となる設備には変2、送11含む　上位系（送茨城66kV118）による制約
茨城県 66kV 123,真壁線,66,2,132,74,熱容量,2,0,可,58,有り,-,送52，変4,抑制が必要となる設備には変2、送11含む　上位系（送茨城66kV122）による制約
茨城県 66kV 124,筑館線（筑館系）,66,2,132,88,熱容量,0,0,可,44,有り,-,送52，変4,抑制が必要となる設備には変2、送11含む　上位系（変茨城66kV9）による制約
茨城県 66kV 125,筑館線（筑波系）,66,2,132,88,熱容量,0,0,可,15,有り,-,送52，変4,抑制が必要となる設備には変2、送11含む　上位系（送茨城66kV118）による制約
茨城県 66kV 126,岩瀬線,66,2,132,74,熱容量,4,0,可,20,有り,-,送52，変4,抑制が必要となる設備には変2、送11含む　上位系（送栃木154kV12）による制約
茨城県 66kV 127,下館線,66,2,136,77,熱容量,11,0,可,45,有り,-,送52，変4,抑制が必要となる設備には変2、送11含む　上位系（送栃木154kV12）による制約
茨城県 66kV 128,送電線,66,2,102,57,熱容量,51,0,可,45,有り,-,送52，変4,抑制が必要となる設備には変2、送11含む　上位系（送栃木154kV12）による制約
茨城県 66kV 129,送電線,66,2,102,57,熱容量,51,0,可,45,有り,-,送52，変4,抑制が必要となる設備には変2、送11含む　上位系（送栃木154kV12）による制約
茨城県 66kV 130,送電線,66,2,102,57,熱容量,51,0,可,45,有り,-,送52，変4,抑制が必要となる設備には変2、送11含む　上位系（送栃木154kV12）による制約
茨城県 66kV 131,三和線（小山系）,66,2,444,254,熱容量,189,0,可,190,有り,-,送52，変4,抑制が必要となる設備には変2、送11含む　上位系（送栃木154kV12）による制約
茨城県 66kV 132,山西線,66,2,106,69,熱容量,53,0,可,37,有り,-,送52，変4,抑制が必要となる設備には変2、送11含む　上位系（送栃木154kV12）による制約
茨城県 66kV 133,南結城線,66,2,102,67,熱容量,17,0,可,35,有り,-,送52，変4,抑制が必要となる設備には変2、送11含む　上位系（送栃木154kV12）による制約
茨城県 66kV 134,結城工団線,66,2,102,57,熱容量,51,0,可,45,有り,-,送52，変4,抑制が必要となる設備には変2、送11含む　上位系（送栃木154kV12）による制約
茨城県 66kV 135,西山工団八千代線,66,2,38,30,熱容量,19,0,可,8,有り,-,送52，変4,抑制が必要となる設備には変2、送11含む　上位系（送栃木154kV12）による制約
茨城県 66kV 136,三和線（総和系）,66,2,444,254,熱容量,222,0,可,190,有り,-,送52，変4,抑制が必要となる設備には変2、送11含む　上位系（変4）による制約
茨城県 66kV 137,送電線,66,2,102,57,熱容量,51,0,可,45,有り,-,送52，変4,抑制が必要となる設備には変2、送11含む　上位系（変4）による制約
茨城県 66kV 138,丘里線,66,2,102,57,熱容量,51,0,可,45,有り,-,送52，変4,抑制が必要となる設備には変2、送11含む　上位系（変4）による制約
茨城県 66kV 139,総和線,66,2,132,74,熱容量,14,0,可,58,有り,-,送52，変4,抑制が必要となる設備には変2、送11含む　上位系（変4）による制約
茨城県 66kV 140,向古河線,66,2,30,22,熱容量,15,0,可,8,有り,-,送52，変4,抑制が必要となる設備には変2、送11含む　上位系（変4）による制約
茨城県 66kV 141,南古河線,66,2,132,74,熱容量,49,0,可,58,有り,-,送52，変4,抑制が必要となる設備には変2、送11含む　上位系（変4）による制約
茨城県 66kV 142,送電線,66,2,102,57,熱容量,51,0,可,45,有り,-,送52，変4,抑制が必要となる設備には変2、送11含む　上位系（変4）による制約
茨城県 66kV 143,北利根線,66,2,106,69,熱容量,35,0,可,0,有り,-,送52，変4,抑制が必要となる設備には変2、送11含む　上位系（送栃木154kV12）による制約
茨城県 66kV 144,猿島線,66,2,146,82,熱容量,28,0,可,64,有り,-,送52，変4,抑制が必要となる設備には変2、送11含む　上位系（送栃木154kV12）による制約
茨城県 66kV 145,谷和原線３，４号,66,2,444,254,熱容量,186,0,可,190,有り,-,送52，送50，送45,上位系（送45）による制約
茨城県 66kV 146,高萩西線,66,2,66,66,熱容量,9,0,可,0,有り,-,変2，送11，変茨城66kV1,抑制が必要となる設備には変4含む　上位系（変茨城66kV1）による制約
