2025年11月25日更新
送電線No,送電線名,電圧(kV),回線数,設備容量(100%×回線数)(MW),運用容量値(MW),運用容量制約要因,空容量(当該設備)(MW),空容量(上位系等考慮)(MW),N-1電制適用可否,N-1電制適用可能量(MW),平常時出力制御の可能性,平常時出力制御の可能性がある設備(当該設備),平常時出力制御の可能性がある設備(上位系設備),備考
基幹 275kV 102,東京南線3・4L,275,2,3066,1729,熱容量,400,0,可,1338,有り,-,送117,上位系（送103）による制約
基幹 275kV 103,京浜線1・2L,275,2,1322,743,熱容量,0,0,可,84,有り,-,送117,上位系（送98）による制約
基幹 275kV 104,京浜線3・4L,275,2,1332,743,熱容量,743,0,可,579,有り,-,変18,上位系（送100）による制約
基幹 275kV 105,南川崎線,275,3,1810,1810,熱容量,0,0,可,0,有り,対象,変18,上位系（送100）による制約
基幹 275kV 106,送電線,275,2,-,-,-,100,0,-,-,有り,-,変18，送105,◇　上位系（送105）による制約
基幹 275kV 107,南池上線,275,3,1284,1216,熱容量,1216,0,可,68,有り,-,変18，送105,上位系（送105）による制約
基幹 275kV 108,中沢線1・2L,275,2,1322,743,熱容量,600,600,可,578,-,-,-,
基幹 275kV 109,中沢線3・4L,275,2,1322,743,熱容量,600,600,可,578,-,-,-,
基幹 275kV 110,南狭山線,275,2,6136,3511,熱容量,3511,3511,可,1400,-,-,-,
基幹 275kV 111,新座線,275,2,5470,3068,熱容量,3068,3068,可,1400,-,-,-,
基幹 275kV 112,北武蔵野線,275,2,684,684,熱容量,684,684,可,0,-,-,-,
基幹 275kV 114,水道橋線,275,3,873,873,熱容量,873,684,可,0,-,-,-,
基幹 275kV 115,東新宿水道橋線,275,2,342,342,熱容量,342,342,可,0,-,-,-,
基幹 275kV 116,坂戸川越線,275,2,7240,3620,熱容量,3000,3000,可,1400,-,-,-,
基幹 275kV 117,西南川越線,275,2,1320,751,熱容量,0,0,可,337,有り,対象,-,
基幹 275kV 118,西南川越線,275,2,1320,751,熱容量,0,0,可,337,有り,-,送117,上位系（送117）による制約
基幹 275kV 120,東京中線,275,2,1322,743,熱容量,743,743,可,579,-,-,-,
基幹 275kV 121,上尾線,275,2,3620,1810,熱容量,1810,743,可,1400,-,-,-,
基幹 275kV 122,北与野線,275,2,504,363,熱容量,363,363,可,141,-,-,-,
基幹 275kV 123,西越谷線,275,2,1810,905,熱容量,905,0,可,905,有り,-,送52,上位系（送52）による制約
基幹 275kV 124,春日部線,275,2,3066,1729,熱容量,1400,0,可,1338,有り,-,送52,上位系（送52）による制約
基幹 275kV 125,豊島線,275,3,924,924,熱容量,200,0,可,0,有り,-,送52,上位系（送52）による制約
基幹 275kV 126,東内幸町線,275,3,948,948,熱容量,0,0,可,0,有り,対象,送52,上位系（送52）による制約
基幹 275kV 127,高輪線,275,3,1289,1289,熱容量,100,0,可,0,有り,-,送52，送126,上位系（送126）による制約
基幹 275kV 128,池上線,275,3,1284,1284,熱容量,600,0,可,0,有り,-,送52，送126,◇　上位系（送126）による制約
基幹 275kV 129,川崎高輪線,275,3,1422,1422,熱容量,0,0,可,0,有り,対象,送52，送126,◇　上位系（送126）による制約
基幹 275kV 130,上野線,275,3,1113,1113,熱容量,1113,0,可,0,有り,-,送47,抑制が必要となる設備には送46含む　上位系（送47）による制約
基幹 275kV 131,上野水道橋線,275,3,867,867,熱容量,867,0,可,0,有り,-,送47,抑制が必要となる設備には送46含む　上位系（送47）による制約
基幹 275kV 132,墨東線,275,3,1227,1227,熱容量,1227,0,可,0,有り,-,送47,抑制が必要となる設備には送46含む　上位系（送47）による制約
基幹 500kV 133,新豊洲線,500,2,1920,1920,熱容量,1400,0,可,0,有り,-,送47,抑制が必要となる設備には送46含む　上位系（送47）による制約
基幹 275kV 134,江東線,275,2,3044,1718,熱容量,1718,0,可,1326,有り,-,送47,抑制が必要となる設備には送46含む　上位系（送47）による制約
基幹 275kV 135,城南線,275,3,990,832,熱容量,832,0,可,176,有り,-,送47,抑制が必要となる設備には送46含む　上位系（送47）による制約
基幹 275kV 136,千葉葛南線,275,2,846,846,熱容量,0,0,可,0,有り,対象,送47,◇　抑制が必要となる設備には送46含む　上位系（送47）による制約
基幹 275kV 137,葛南世田谷線,275,3,1086,1086,熱容量,1086,0,可,0,有り,-,送47,抑制が必要となる設備には送46含む　上位系（送47）による制約
基幹 275kV 138,世田谷線,275,3,1179,1179,熱容量,1179,0,可,0,有り,-,送47,抑制が必要となる設備には送46含む　上位系（送47）による制約
基幹 275kV 139,川崎豊洲線,275,3,1803,1803,熱容量,0,0,可,0,有り,対象,送47,◇　抑制が必要となる設備には送46含む　上位系（送47）による制約
基幹 275kV 140,豊洲内幸町線,275,3,1011,1011,熱容量,1011,0,可,0,有り,-,送47,抑制が必要となる設備には送46含む　上位系（送47）による制約
基幹 275kV 141,豊洲永代橋線,275,3,975,975,熱容量,975,0,可,0,有り,-,送47,抑制が必要となる設備には送46含む　上位系（送47）による制約
基幹 275kV 142,送電線,275,2,-,-,-,0,0,-,-,有り,対象,送144，送92，送93,◇　上位系（送93）による制約
基幹 275kV 143,北千葉線（花見川～新京葉）,275,2,5632,3254,熱容量,0,0,可,0,有り,対象,送47,抑制が必要となる設備には送46含む　上位系（送47）による制約
基幹 275kV 144,港北線（荏田～西東京）,275,2,3066,1729,熱容量,0,0,可,0,有り,対象,-,
基幹 275kV 145,新豊根佐久間線,275,2,-,-,-,200,0,-,-,有り,-,送82,◇　上位系（送82）による制約
