2025年11月25日更新
変電所No,変電所名,電圧(一次)(kV),電圧(二次)(kV),台数,設備容量(100%×台数)(MW),運用容量値(MW),運用容量制約要因,空容量(当該設備)(MW),空容量(上位系等考慮)(MW),N-1電制適用可否,N-1電制適用可能量(MW),平常時出力制御の可能性,平常時出力制御の可能性がある設備(当該設備),平常時出力制御の可能性がある設備(上位系設備),備考
神奈川県 配電用変電所 96,西鶴間,66,6.6以下,2,57,59,熱容量,29,0,不可,-,有り,-,変18,上位系（送神奈川66kV32）による制約
神奈川県 配電用変電所 97,ひばりヶ丘,66,6.6以下,3,57,59,熱容量,19,0,不可,-,有り,-,変18,上位系（送100）による制約
神奈川県 配電用変電所 98,大塚,66,6.6以下,3,52,54,熱容量,14,0,不可,-,有り,-,変18,上位系（送100）による制約
神奈川県 配電用変電所 99,大谷,66,6.6以下,3,57,59,熱容量,19,0,不可,-,有り,-,変18,上位系（送100）による制約
神奈川県 配電用変電所 100,海老名,66,6.6以下,2,38,39,熱容量,19,19,不可,-,-,-,-,
神奈川県 配電用変電所 101,三田,66,6.6以下,3,57,59,熱容量,18,18,不可,-,-,-,-,
神奈川県 配電用変電所 102,飯山,66,6.6以下,3,52,54,熱容量,14,0,不可,-,有り,-,変18,上位系（送神奈川66kV122）による制約
神奈川県 配電用変電所 103,仲通,66,6.6以下,3,57,59,熱容量,19,0,不可,-,有り,-,変18,上位系（送神奈川154kV10）による制約
神奈川県 配電用変電所 104,住吉町,66,6.6以下,3,57,59,熱容量,19,0,不可,-,有り,-,変18,上位系（送神奈川154kV10）による制約
神奈川県 配電用変電所 105,山下町,66,6.6以下,2,38,39,熱容量,19,0,不可,-,有り,-,変18,上位系（送神奈川154kV32）による制約
神奈川県 配電用変電所 106,本牧,66,6.6以下,2,38,39,熱容量,19,0,不可,-,有り,-,変18,上位系（送神奈川154kV26）による制約
神奈川県 配電用変電所 107,小港,66,6.6以下,3,42,44,熱容量,9,0,不可,-,有り,-,変18,上位系（送神奈川154kV26）による制約
神奈川県 配電用変電所 108,南本牧１号,22,6.6以下,1,9,9,熱容量,9,9,不可,-,-,-,-,
神奈川県 配電用変電所 109,保土ヶ谷,66,6.6以下,3,47,49,熱容量,9,0,不可,-,有り,-,変18,上位系（送神奈川154kV32）による制約
神奈川県 配電用変電所 110,伊勢佐木町,66,6.6以下,3,52,54,熱容量,14,0,不可,-,有り,-,変18,上位系（送神奈川154kV10）による制約
神奈川県 配電用変電所 111,長者町,66,6.6以下,3,52,54,熱容量,14,0,不可,-,有り,-,変18,上位系（送神奈川154kV32）による制約
神奈川県 配電用変電所 112,山手,66,6.6以下,2,38,39,熱容量,19,0,不可,-,有り,-,変18,上位系（送神奈川154kV32）による制約
神奈川県 配電用変電所 113,南吉田,66,6.6以下,3,52,54,熱容量,14,0,不可,-,有り,-,変18,上位系（送神奈川154kV26）による制約
神奈川県 配電用変電所 114,磯子,66,6.6以下,3,47,49,熱容量,9,0,不可,-,有り,-,変18,上位系（送神奈川154kV32）による制約
神奈川県 配電用変電所 115,境木,66,6.6以下,3,52,54,熱容量,14,0,不可,-,有り,-,送144，送92,上位系（送神奈川154kV16）による制約
神奈川県 配電用変電所 116,井土ヶ谷,66,6.6以下,2,38,39,熱容量,19,0,不可,-,有り,-,変18,上位系（送神奈川154kV32）による制約
神奈川県 配電用変電所 117,弘明寺,66,6.6以下,3,33,34,熱容量,9,0,不可,-,有り,-,変18,上位系（送神奈川154kV30）による制約
神奈川県 配電用変電所 118,上大岡,66,6.6以下,2,38,39,熱容量,19,0,不可,-,有り,-,変18,上位系（送神奈川154kV32）による制約
神奈川県 配電用変電所 119,品濃,66,6.6以下,3,52,54,熱容量,14,0,不可,-,有り,-,変18,上位系（送神奈川154kV30）による制約
神奈川県 配電用変電所 120,上永谷,66,6.6以下,2,38,39,熱容量,19,0,不可,-,有り,-,変18,上位系（送神奈川154kV30）による制約
神奈川県 配電用変電所 121,東戸塚,66,6.6以下,3,57,59,熱容量,19,0,不可,-,有り,-,変18,上位系（送神奈川154kV28）による制約
神奈川県 配電用変電所 122,矢部,66,6.6以下,3,47,49,熱容量,14,0,不可,-,有り,-,変18,上位系（送神奈川154kV28）による制約
神奈川県 配電用変電所 123,中和田,66,6.6以下,3,57,59,熱容量,19,0,不可,-,有り,-,変18,上位系（送神奈川154kV30）による制約
神奈川県 配電用変電所 124,上和田,66,6.6以下,2,38,39,熱容量,19,0,不可,-,有り,-,変18,上位系（送神奈川154kV28）による制約
神奈川県 配電用変電所 125,長後,66,6.6以下,3,57,59,熱容量,19,0,不可,-,有り,-,変18,上位系（送神奈川154kV30）による制約
神奈川県 配電用変電所 126,綾瀬台,66,6.6以下,3,57,59,熱容量,19,0,不可,-,有り,-,変18,上位系（送100）による制約
神奈川県 配電用変電所 127,比留川,66,6.6以下,2,38,39,熱容量,19,0,不可,-,有り,-,変18,上位系（送100）による制約
神奈川県 配電用変電所 128,高座,66,6.6以下,3,57,59,熱容量,19,0,不可,-,有り,-,変18,上位系（送100）による制約
神奈川県 配電用変電所 129,中町,66,6.6以下,2,57,59,熱容量,29,0,不可,-,有り,-,変18,上位系（送神奈川66kV122）による制約
神奈川県 配電用変電所 130,岡田,66,6.6以下,3,57,59,熱容量,19,19,不可,-,-,-,-,
神奈川県 配電用変電所 131,厚木,66,6.6以下,1,28,28,熱容量,28,0,不可,-,有り,-,変18,上位系（送神奈川66kV122）による制約
神奈川県 配電用変電所 132,長谷,66,6.6以下,3,57,59,熱容量,19,19,不可,-,-,-,-,
神奈川県 配電用変電所 133,下沖,66,6.6以下,3,52,54,熱容量,14,0,不可,-,有り,-,変18,上位系（送100）による制約
神奈川県 配電用変電所 134,伊勢原,66,6.6以下,3,57,59,熱容量,19,19,不可,-,-,-,-,
神奈川県 配電用変電所 135,比々多,66,6.6以下,3,47,49,熱容量,14,14,不可,-,-,-,-,
神奈川県 配電用変電所 136,秦野,66,6.6以下,3,52,54,熱容量,14,14,不可,-,-,-,-,
神奈川県 配電用変電所 137,堀西,66,6.6以下,2,38,39,熱容量,19,19,不可,-,-,-,-,
神奈川県 配電用変電所 138,丹沢湖,66,6.6以下,1,5,5,熱容量,5,0,不可,-,有り,-,-,上位系（送神奈川66kV160）による制約
神奈川県 配電用変電所 139,杉田,66,6.6以下,2,33,34,熱容量,14,0,不可,-,有り,-,変18,上位系（送神奈川154kV26）による制約
神奈川県 配電用変電所 140,笹下,66,6.6以下,2,38,39,熱容量,19,0,不可,-,有り,-,変18,上位系（送神奈川154kV32）による制約
神奈川県 配電用変電所 141,富岡,66,6.6以下,3,38,39,熱容量,9,0,不可,-,有り,-,変18,上位系（送神奈川154kV32）による制約
神奈川県 配電用変電所 142,幸浦,154,6.6以下,3,57,59,熱容量,19,0,不可,-,有り,-,変18,上位系（送神奈川154kV29）による制約
神奈川県 配電用変電所 143,能見台,66,6.6以下,1,19,19,熱容量,19,0,不可,-,有り,-,送117,上位系（送103）による制約
神奈川県 配電用変電所 144,港南台,154,6.6以下,3,76,79,熱容量,19,0,不可,-,有り,-,変18,上位系（送神奈川154kV27）による制約
神奈川県 配電用変電所 145,中野町,66,6.6以下,2,38,39,熱容量,19,0,不可,-,有り,-,送117,上位系（送103）による制約
神奈川県 配電用変電所 146,舞岡,66,6.6以下,3,47,49,熱容量,14,0,不可,-,有り,-,変18,上位系（送神奈川154kV28）による制約
神奈川県 配電用変電所 147,笠間町,66,6.6以下,3,52,54,熱容量,14,0,不可,-,有り,-,変18,上位系（送神奈川154kV30）による制約
神奈川県 配電用変電所 148,戸塚,66,6.6以下,3,57,59,熱容量,19,0,不可,-,有り,-,変18,上位系（送神奈川154kV30）による制約
神奈川県 配電用変電所 149,六会,66,6.6以下,3,52,54,熱容量,14,14,不可,-,-,-,-,
神奈川県 配電用変電所 150,亀井野,66,6.6以下,1,19,19,熱容量,19,19,不可,-,-,-,-,
神奈川県 配電用変電所 151,石川,66,6.6以下,3,52,54,熱容量,14,0,不可,-,有り,-,変18,上位系（送神奈川154kV30）による制約
神奈川県 配電用変電所 152,大庭,66,6.6以下,3,57,59,熱容量,19,19,不可,-,-,-,-,
神奈川県 配電用変電所 153,御所見,66,6.6以下,3,52,54,熱容量,14,0,不可,-,有り,-,変18,上位系（送100）による制約
神奈川県 配電用変電所 154,田村,66,6.6以下,1,19,19,熱容量,19,19,不可,-,-,-,-,
神奈川県 配電用変電所 155,湘南,66,6.6以下,3,52,54,熱容量,14,14,不可,-,-,-,-,
神奈川県 配電用変電所 156,宮地,66,6.6以下,2,38,39,熱容量,19,19,不可,-,-,-,-,
神奈川県 配電用変電所 157,堀川,66,6.6以下,3,42,44,熱容量,14,14,不可,-,-,-,-,
神奈川県 配電用変電所 158,峰,66,6.6以下,1,9,9,熱容量,9,0,不可,-,有り,-,-,上位系（送神奈川66kV157）による制約
神奈川県 配電用変電所 159,福浦,154,6.6以下,2,38,39,熱容量,19,0,不可,-,有り,-,変18,上位系（送神奈川154kV29）による制約
神奈川県 配電用変電所 160,金沢,66,6.6以下,3,47,49,熱容量,9,0,不可,-,有り,-,送117,上位系（送103）による制約
神奈川県 配電用変電所 161,貝山,66,6.6以下,3,57,59,熱容量,19,0,不可,-,有り,-,送117,上位系（送神奈川66kV54）による制約
神奈川県 配電用変電所 162,六浦,66,6.6以下,3,47,49,熱容量,14,0,不可,-,有り,-,送117,上位系（送103）による制約
神奈川県 配電用変電所 163,大船,66,6.6以下,3,52,54,熱容量,14,0,不可,-,有り,-,変18,上位系（送神奈川154kV30）による制約
神奈川県 配電用変電所 164,若宮,66,6.6以下,3,52,54,熱容量,14,0,不可,-,有り,-,送117,上位系（送103）による制約
神奈川県 配電用変電所 165,鎌倉,66,6.6以下,3,57,59,熱容量,19,0,不可,-,有り,-,送117,上位系（送103）による制約
神奈川県 配電用変電所 166,鵠沼,66,6.6以下,3,57,59,熱容量,19,19,不可,-,-,-,-,
神奈川県 配電用変電所 167,片瀬,66,6.6以下,3,57,59,熱容量,19,19,不可,-,-,-,-,
神奈川県 配電用変電所 168,城藤沢,66,6.6以下,3,57,59,熱容量,19,19,不可,-,-,-,-,
神奈川県 配電用変電所 169,引地川,66,6.6以下,3,52,54,熱容量,14,14,不可,-,-,-,-,
神奈川県 配電用変電所 170,辻堂,66,6.6以下,3,57,59,熱容量,19,19,不可,-,-,-,-,
神奈川県 配電用変電所 171,茅ヶ崎,66,6.6以下,3,57,59,熱容量,19,19,不可,-,-,-,-,
神奈川県 配電用変電所 172,梅田,66,6.6以下,3,52,54,熱容量,14,14,不可,-,-,-,-,
神奈川県 配電用変電所 173,寒川,66,6.6以下,3,57,59,熱容量,19,19,不可,-,-,-,-,
神奈川県 配電用変電所 174,馬入,66,6.6以下,3,52,54,熱容量,14,14,不可,-,-,-,-,
神奈川県 配電用変電所 175,白鷺,66,6.6以下,2,38,39,熱容量,19,19,不可,-,-,-,-,
神奈川県 配電用変電所 176,宝町,66,6.6以下,3,57,59,熱容量,19,19,不可,-,-,-,-,
神奈川県 配電用変電所 177,平塚,66,6.6以下,3,57,59,熱容量,19,19,不可,-,-,-,-,
神奈川県 配電用変電所 178,根坂間,66,6.6以下,3,57,59,熱容量,19,19,不可,-,-,-,-,
神奈川県 配電用変電所 179,大磯,66,6.6以下,2,38,39,熱容量,19,19,不可,-,-,-,-,
神奈川県 配電用変電所 180,中井,66,6.6以下,3,57,59,熱容量,19,19,不可,-,-,-,-,
神奈川県 配電用変電所 181,金子,66,6.6以下,3,47,49,熱容量,9,9,不可,-,-,-,-,
神奈川県 配電用変電所 182,竹松,66,6.6以下,1,19,19,熱容量,19,19,不可,-,-,-,-,
神奈川県 配電用変電所 183,内山,66,6.6以下,2,38,39,熱容量,19,19,不可,-,-,-,-,
神奈川県 配電用変電所 184,桜山,66,6.6以下,3,47,49,熱容量,9,0,不可,-,有り,-,送117,上位系（送103）による制約
神奈川県 配電用変電所 185,横須賀,66,6.6以下,2,28,29,熱容量,9,0,不可,-,有り,-,送117,上位系（送103）による制約
神奈川県 配電用変電所 186,若松町,66,6.6以下,3,57,59,熱容量,19,0,不可,-,有り,-,送117,上位系（送103）による制約
神奈川県 配電用変電所 187,平成町,66,6.6以下,2,38,39,熱容量,19,0,不可,-,有り,-,送117,上位系（送103）による制約
神奈川県 配電用変電所 188,馬堀,66,6.6以下,3,47,49,熱容量,14,0,不可,-,有り,-,送117,上位系（送103）による制約
神奈川県 配電用変電所 189,久里浜,66,6.6以下,3,28,29,熱容量,9,0,不可,-,有り,-,送117,上位系（送103）による制約
神奈川県 配電用変電所 190,衣笠,66,6.6以下,3,42,44,熱容量,9,0,不可,-,有り,-,送117,上位系（送103）による制約
神奈川県 配電用変電所 191,岩戸,66,6.6以下,3,47,49,熱容量,9,0,不可,-,有り,-,送117,上位系（送103）による制約
神奈川県 配電用変電所 192,神明,66,6.6以下,2,38,39,熱容量,19,0,不可,-,有り,-,送117,上位系（送103）による制約
神奈川県 配電用変電所 193,木古庭,66,6.6以下,2,38,39,熱容量,19,0,不可,-,有り,-,送117,上位系（送103）による制約
神奈川県 配電用変電所 194,武山,66,6.6以下,3,38,39,熱容量,9,0,不可,-,有り,-,送117,上位系（送103）による制約
神奈川県 配電用変電所 195,三浦,66,6.6以下,2,28,29,熱容量,9,0,不可,-,有り,-,送117,上位系（送103）による制約
神奈川県 配電用変電所 196,三崎,66,6.6以下,3,47,49,熱容量,9,0,不可,-,有り,-,送117,上位系（送103）による制約
