2025年11月25日更新
送電線No,送電線名,電圧(kV),回線数,設備容量(100%×回線数)(MW),運用容量値(MW),運用容量制約要因,空容量(当該設備)(MW),空容量(上位系等考慮)(MW),N-1電制適用可否,N-1電制適用可能量(MW),平常時出力制御の可能性,平常時出力制御の可能性がある設備(当該設備),平常時出力制御の可能性がある設備(上位系設備),備考
千葉県 66kV 66,送電線,66,2,106,69,熱容量,53,0,可,37,有り,-,送47,抑制が必要となる設備には送46含む　上位系（送47）による制約
千葉県 66kV 67,市川千鳥線,66,2,118,118,熱容量,114,0,可,0,有り,-,送47,抑制が必要となる設備には送46含む　上位系（送47）による制約
千葉県 66kV 68,市川千鳥線,66,2,75,75,熱容量,75,0,可,0,有り,-,送47,抑制が必要となる設備には送46含む　上位系（送47）による制約
千葉県 66kV 69,市船線,66,2,206,116,熱容量,103,0,可,90,有り,-,送47,抑制が必要となる設備には送46含む　上位系（送47）による制約
千葉県 66kV 70,市川千鳥線,66,2,118,118,熱容量,118,0,可,0,有り,-,送47,抑制が必要となる設備には送46含む　上位系（送47）による制約
千葉県 66kV 71,花総線,66,2,168,94,熱容量,84,0,可,74,有り,-,送47,抑制が必要となる設備には送46含む　上位系（送47）による制約
千葉県 66kV 72,村田川線,66,2,184,104,熱容量,0,0,可,19,有り,-,送47，送36，送33,抑制が必要となる設備には送46含む　上位系（送33）による制約
千葉県 66kV 73,蘇我線,66,2,184,104,熱容量,0,0,可,32,有り,-,送47，送36，送33,抑制が必要となる設備には送46含む　上位系（送33）による制約
千葉県 66kV 74,蘇我線,66,2,184,104,熱容量,0,0,可,29,有り,-,送47，送36，送33,抑制が必要となる設備には送46含む　上位系（送千葉66kV73）による制約
千葉県 66kV 76,八幡環線,66,2,115,115,熱容量,19,0,可,0,有り,-,送47，送36，送33,抑制が必要となる設備には送46含む　上位系（送千葉66kV74）による制約
千葉県 66kV 77,五井環線,66,2,91,91,熱容量,51,0,可,4,有り,-,送47，送36，送33,抑制が必要となる設備には送46含む　上位系（送千葉66kV74）による制約
千葉県 66kV 78,東金線,66,2,372,212,熱容量,91,0,可,133,有り,-,送47，変12，変千葉154kV3，送千葉154kV11,抑制が必要となる設備には送46含む　上位系（変千葉66kV9）による制約
千葉県 66kV 79,北白子線,66,2,132,74,熱容量,7,0,可,0,有り,-,送47，変12，変千葉154kV3，送千葉154kV11,抑制が必要となる設備には送46含む　上位系（変千葉66kV9）による制約
千葉県 66kV 80,東金線,66,2,444,254,熱容量,132,0,可,148,有り,-,送47，変12，変千葉154kV3，送千葉154kV11,抑制が必要となる設備には送46含む　上位系（変千葉66kV9）による制約
千葉県 66kV 81,茂原線,66,2,444,254,熱容量,0,0,可,119,有り,-,送47，変12，変千葉154kV3，送千葉154kV11,抑制が必要となる設備には送46含む　上位系（変千葉66kV9）による制約
千葉県 66kV 82,長柄線,66,2,132,74,熱容量,27,0,可,58,有り,-,送47，変12，変千葉154kV3，送千葉154kV11,抑制が必要となる設備には送46含む　上位系（送千葉66kV81）による制約
千葉県 66kV 83,茂原線,66,2,294,167,熱容量,7,0,可,127,有り,-,送47，変12，変千葉154kV3，送千葉154kV11,抑制が必要となる設備には送46含む　上位系（送千葉66kV81）による制約
千葉県 66kV 84,高師線,66,2,100,66,熱容量,28,0,可,34,有り,-,送47，変12，変千葉154kV3，送千葉154kV11,抑制が必要となる設備には送46含む　上位系（変千葉66kV9）による制約
千葉県 66kV 85,茂原線,66,2,294,167,熱容量,7,0,可,127,有り,-,送47，変12，変千葉154kV3，送千葉154kV11,抑制が必要となる設備には送46含む　上位系（送千葉66kV81）による制約
千葉県 66kV 86,岬町線,66,2,59,59,熱容量,0,0,可,0,有り,対象,送47，変12，変千葉154kV3，送千葉154kV11,抑制が必要となる設備には送46含む　上位系（送千葉66kV81）による制約
千葉県 66kV 87,青柳環線,66,2,236,133,熱容量,26,0,可,21,有り,-,送47，変12，変千葉66kV12,抑制が必要となる設備には送46含む　上位系（変千葉66kV12）による制約
千葉県 66kV 88,木更津線,66,2,184,104,熱容量,0,0,可,28,有り,-,送47，変12，変千葉66kV12,抑制が必要となる設備には送46含む　上位系（変千葉66kV12）による制約
千葉県 66kV 89,姉原線,66,2,184,104,熱容量,50,0,可,80,有り,-,送47，変12，変千葉66kV10,抑制が必要となる設備には送46含む　上位系（変千葉66kV10）による制約
千葉県 66kV 90,姉原線,66,2,184,104,熱容量,54,0,可,80,有り,-,送47，変12，変千葉66kV10,抑制が必要となる設備には送46含む　上位系（変千葉66kV10）による制約
千葉県 66kV 91,木更津線,66,2,184,104,熱容量,0,0,可,77,有り,-,送47，変12，変千葉66kV12,抑制が必要となる設備には送46含む　上位系（送千葉66kV138）による制約
千葉県 66kV 92,蔵波線,66,2,236,160,熱容量,0,0,可,3,有り,-,送47，変12，変千葉66kV10,抑制が必要となる設備には送46含む　上位系（変千葉66kV10）による制約
千葉県 66kV 93,木内線,66,2,132,74,熱容量,52,0,可,58,有り,-,送47，変11，変千葉154kV8，変千葉66kV11,抑制が必要となる設備には送46含む　上位系（変千葉66kV11）による制約
千葉県 66kV 94,横田線,66,2,294,167,熱容量,48,0,可,21,有り,-,送47，変11，変千葉154kV8，変千葉66kV11,抑制が必要となる設備には送46含む　上位系（変千葉66kV11）による制約
千葉県 66kV 95,横田線,66,2,221,221,熱容量,73,0,可,0,有り,-,送47，変11，変千葉154kV8，変千葉66kV11,抑制が必要となる設備には送46含む　上位系（変千葉66kV11）による制約
千葉県 66kV 96,高滝線,66,2,294,167,熱容量,87,0,可,118,有り,-,送47，変11，変千葉154kV8，変千葉66kV11，送千葉66kV147，送千葉66kV140,抑制が必要となる設備には送46含む　上位系（送千葉66kV140）による制約
千葉県 66kV 97,高滝線,66,2,-,-,-,97,0,-,-,有り,-,送47，変11，変千葉154kV8，変千葉66kV11，送千葉66kV147，送千葉66kV140,抑制が必要となる設備には送46含む　上位系（送千葉66kV140）による制約
千葉県 66kV 98,高滝線,66,2,102,57,熱容量,22,0,可,45,有り,-,送47，変11，変千葉154kV8，変千葉66kV11，送千葉66kV147，送千葉66kV140,抑制が必要となる設備には送46含む　上位系（送千葉66kV140）による制約
千葉県 66kV 99,長南線,66,2,58,58,熱容量,37,0,可,0,有り,-,送47，変11，変千葉154kV8，変千葉66kV11，送千葉66kV147，送千葉66kV140,抑制が必要となる設備には送46含む　上位系（送千葉66kV140）による制約
千葉県 66kV 100,夷隅線,66,2,92,92,熱容量,0,0,可,0,有り,対象,送47，変11，変千葉154kV8，変千葉66kV11，送千葉66kV147，送千葉66kV140,抑制が必要となる設備には送46含む　上位系（送千葉66kV140）による制約
千葉県 66kV 101,外房線,66,2,380,217,熱容量,60,0,可,126,有り,-,送47，変11，変千葉154kV8，変千葉66kV11，送千葉66kV102,抑制が必要となる設備には送46含む　上位系（送千葉66kV102）による制約
千葉県 66kV 102,上総線,66,2,186,186,熱容量,0,0,可,0,有り,対象,送47，変11，変千葉154kV8，変千葉66kV11,抑制が必要となる設備には送46含む　上位系（変千葉66kV11）による制約
千葉県 66kV 103,上総線,66,2,380,217,熱容量,127,0,可,163,有り,-,送47，変11，変千葉154kV8，変千葉66kV11，送千葉66kV102,抑制が必要となる設備には送46含む　上位系（送千葉66kV102）による制約
千葉県 66kV 104,南房線,66,2,198,107,熱容量,90,0,可,91,有り,-,送47，変11，変千葉154kV8，変千葉66kV11，送千葉66kV102,抑制が必要となる設備には送46含む　上位系（送千葉66kV102）による制約
千葉県 66kV 105,内房線,66,2,138,92,熱容量,58,0,可,46,有り,-,送47，変11，変千葉154kV8，変千葉66kV11,抑制が必要となる設備には送46含む　上位系（送千葉66kV107）による制約
千葉県 66kV 106,富浦線,66,2,106,69,熱容量,49,0,可,37,有り,-,送47，変11，変千葉154kV8，変千葉66kV11,抑制が必要となる設備には送46含む　上位系（送千葉66kV107）による制約
千葉県 66kV 107,内房線,66,2,132,74,熱容量,0,0,可,12,有り,-,送47，変11，変千葉154kV8，変千葉66kV11,抑制が必要となる設備には送46含む　上位系（変千葉66kV11）による制約
千葉県 66kV 108,内房線,66,2,230,130,熱容量,28,0,可,66,有り,-,送47，変11，変千葉154kV8，変千葉66kV11,抑制が必要となる設備には送46含む　上位系（変千葉66kV11）による制約
千葉県 66kV 109,木内線,66,2,197,197,熱容量,183,0,可,0,有り,-,送47，変11，変千葉154kV8，変千葉66kV11,抑制が必要となる設備には送46含む　上位系（変千葉66kV11）による制約
